"date","core_infl_est","hcserv_contrib","hcserv_contrib_share"
1959-01-31,NA,NA,NA
1959-02-28,NA,NA,NA
1959-03-31,NA,NA,NA
1959-04-30,NA,NA,NA
1959-05-31,NA,NA,NA
1959-06-30,NA,NA,NA
1959-07-31,NA,NA,NA
1959-08-31,NA,NA,NA
1959-09-30,NA,NA,NA
1959-10-31,NA,NA,NA
1959-11-30,NA,NA,NA
1959-12-31,NA,NA,NA
1960-01-31,2.03640243591154,0.278635391775316,13.6827272871824
1960-02-29,2.15695329171692,0.333242996942404,15.4497085413076
1960-03-31,2.05944398805301,0.38171150562225,18.5346874125534
1960-04-30,1.99000395633964,0.403892656579525,20.2960730451227
1960-05-31,2.07108869033002,0.462270564840149,22.3201723324793
1960-06-30,1.84857019055286,0.494194010006777,26.7338515211573
1960-07-31,1.79351046915755,0.509867748013399,28.4284790516386
1960-08-31,1.77079137561618,0.519023591253022,29.3102619766497
1960-09-30,1.58097638256974,0.512861505030419,32.439542467852
1960-10-31,1.46551138740765,0.480662009166908,32.7982445784439
1960-11-30,1.56225647120382,0.46739316123121,29.9178252640587
1960-12-31,1.39416531767528,0.445155202162108,31.9298720545128
1961-01-31,1.38947467612712,0.469364665714057,33.7800086448726
1961-02-28,1.28080426692264,0.386308262786157,30.161381622684
1961-03-31,1.28985823787569,0.310795680754764,24.0953363422807
1961-04-30,1.24903682380533,0.2472651392208,19.7964651248215
1961-05-31,1.20736129538119,0.168476774393956,13.9541308006535
1961-06-30,1.28791877187012,0.112168835625762,8.7093097853436
1961-07-31,1.26079496090062,0.0841747919264688,6.67632680466463
1961-08-31,1.20773787786284,0.0439870399559739,3.64210154887346
1961-09-30,1.33065885686392,0.0257692382302076,1.93657736521141
1961-10-31,1.2995693779032,0.0111348782445005,0.856812913094806
1961-11-30,1.04717534433049,-0.00220761511226132,-0.210816185103436
1961-12-31,1.16564983582641,0.0144008469946769,1.23543508110797
1962-01-31,1.25392266417525,0.0458662784595795,3.65782354605956
1962-02-28,1.32974740188331,0.084954492775653,6.38876922454089
1962-03-31,1.52971063321972,0.102263976747262,6.68518440850592
1962-04-30,1.41160626293839,0.156609697782462,11.0944320590123
1962-05-31,1.41861775514137,0.160401634964533,11.3068960530913
1962-06-30,1.4723657868181,0.198257049276405,13.4652034875691
1962-07-31,1.39104198329741,0.201744565989369,14.5031256002167
1962-08-31,1.31471772447306,0.225954218108612,17.1865195016804
1962-09-30,1.30058406496246,0.227665689695489,17.5048807554059
1962-10-31,1.27102809362454,0.241040025382465,18.9641776284505
1962-11-30,1.31683258564561,0.263755775981834,20.029560238481
1962-12-31,1.25049488840028,0.247910301701052,19.8249752158681
1963-01-31,1.3369877234796,0.235655559896864,17.6258581704516
1963-02-28,1.28491351626782,0.22684852734006,17.6547701046035
1963-03-31,1.10653213748018,0.223702397150453,20.2165296039095
1963-04-30,1.21327993277788,0.186562188119691,15.3766812653486
1963-05-31,1.26097373424597,0.201395814666427,15.9714519975197
1963-06-30,1.23520482171322,0.19603665755009,15.8707814367327
1963-07-31,1.23902581589941,0.201539254157401,16.2659447100465
1963-08-31,1.31492262835374,0.21293244655011,16.1935342778835
1963-09-30,1.30261626418824,0.202730121569735,15.563303418146
1963-10-31,1.54048068861152,0.197508154662052,12.8212028960955
1963-11-30,1.55738221007413,0.171853716702802,11.034781031345
1963-12-31,1.66614585355576,0.201109346896703,12.0703326462993
1964-01-31,1.61633181092937,0.234016252044554,14.4782309215332
1964-02-29,1.69925473381982,0.230122839602027,13.542574578252
1964-03-31,1.73208851556636,0.251068712894012,14.4951433277022
1964-04-30,1.70051414946391,0.273185494954234,16.0648763222792
1964-05-31,1.59912239420726,0.269791405942792,16.8712167949181
1964-06-30,1.50036830454353,0.250066525040213,16.6670093125096
1964-07-31,1.51307336704019,0.257184368695354,16.9974817016605
1964-08-31,1.55087925827329,0.251803839441127,16.2361987948358
1964-09-30,1.41650471763147,0.255863392567794,18.0630102662575
1964-10-31,1.22791619501995,0.284373143066111,23.1590025621814
1964-11-30,1.29509470533705,0.308083886527747,23.7885218168325
1964-12-31,1.30346470485117,0.29139170707507,22.3551666562648
1965-01-31,1.28244917239303,0.274770468441324,21.4254470552315
1965-02-28,1.1971121460929,0.258280247615848,21.5752758385099
1965-03-31,1.1587845389611,0.241835154689127,20.8697256960248
1965-04-30,1.1876846930184,0.248129169731638,20.8918386496199
1965-05-31,1.29449701601246,0.255248878351722,19.7179966577277
1965-06-30,1.2098961271634,0.269593984709116,22.2824074444455
1965-07-31,1.20361805849854,0.24837308566155,20.6355399794669
1965-08-31,1.25358912611496,0.229594150608163,18.3149443326544
1965-09-30,1.31781280379494,0.234355777309166,17.7836925422401
1965-10-31,1.25062334781949,0.215728602913795,17.2496861896849
1965-11-30,1.2953380912178,0.197741473002287,15.2656263521427
1965-12-31,1.45824094554202,0.211002374620218,14.4696509356202
1966-01-31,1.35159186566532,0.204311729643585,15.1163775717911
1966-02-28,1.47094538886311,0.248835029361038,16.9166735383264
1966-03-31,1.54222784666456,0.252290830707705,16.3588558755015
1966-04-30,1.78460898146251,0.269568624255964,15.1051926251682
1966-05-31,1.88952495390879,0.281696223011015,14.9083092249341
1966-06-30,2.250054276836,0.326970364331553,14.5316656445877
1966-07-31,2.4482163738564,0.353733527805336,14.4486219266698
1966-08-31,2.4361350796995,0.384205431027243,15.7711053967761
1966-09-30,2.61927181781085,0.417874839169947,15.9538554314382
1966-10-31,3.00069752365548,0.464000919497237,15.4631020234251
1966-11-30,3.07531601381118,0.496559754348597,16.146625326261
1966-12-31,3.07932077672065,0.498396191671971,16.1852638231065
1967-01-31,3.14303000457014,0.529223342155682,16.8379984087381
1967-02-28,3.07800038088034,0.526020466113198,17.0896816446381
1967-03-31,3.09817743138407,0.551185859172846,17.7906485790458
1967-04-30,3.01146340260171,0.529320155936435,17.5768417268208
1967-05-31,2.967211157068,0.531546687888774,17.9140162176396
1967-06-30,2.88860028600003,0.515751883954056,17.8547335349136
1967-07-31,2.93632513677137,0.519408001770643,17.6890493244817
1967-08-31,3.06213874348509,0.534817881519411,17.4655012826337
1967-09-30,3.10316743341416,0.505408799681324,16.2868685150277
1967-10-31,3.15209520846881,0.497082829438287,15.7699179930468
1967-11-30,3.22532983319719,0.505075460527112,15.659653016834
1967-12-31,3.16585307438266,0.515093970011803,16.2703055988234
1968-01-31,3.521902279033,0.510003034327327,14.480896797266
1968-02-29,3.78477551998108,0.502143201527761,13.2674500476126
1968-03-31,4.03703871950198,0.540078244532133,13.3780793808873
1968-04-30,4.13419006251528,0.537117118883119,12.9920760961902
1968-05-31,4.30153925763147,0.538875232572029,12.5274977234253
1968-06-30,4.43718328784383,0.546007358826656,12.3052694334828
1968-07-31,4.43093592244078,0.527665546705164,11.9086702209519
1968-08-31,4.51259581334734,0.523085181101415,11.5916692462071
1968-09-30,4.57255417669012,0.537797896731087,11.7614330186105
1968-10-31,4.61121142014757,0.552592557505602,11.9836742919915
1968-11-30,4.66607377977576,0.544937502654824,11.6787159478008
1968-12-31,4.7300334324585,0.545268108645825,11.5277855100152
1969-01-31,4.6569384376072,0.54691646173331,11.7441205002127
1969-02-28,4.56381866525696,0.57295748854409,12.5543438635249
1969-03-31,4.64094858039834,0.577336780518356,12.4400598394219
1969-04-30,4.66128119971806,0.615821936919125,13.2114307318849
1969-05-31,4.68559147841192,0.643124729198856,13.7255826113298
1969-06-30,4.64513132671269,0.621980116040182,13.3899360920836
1969-07-31,4.77955341059699,0.648971856506485,13.5780856652342
1969-08-31,4.66519492890035,0.638200484036891,13.6800389643595
1969-09-30,4.66487643136552,0.658506195265713,14.1162623480887
1969-10-31,4.68368489350843,0.669647986224728,14.2974602572615
1969-11-30,4.699605905276,0.684588894950504,14.5669426064418
1969-12-31,4.77407027458468,0.703370321868066,14.7331371641624
1970-01-31,4.72679238481971,0.732211314849017,15.4906595263321
1970-02-28,4.77784306649371,0.719269223327304,15.054266398397
1970-03-31,4.67922992533626,0.709906250132148,15.1714333653124
1970-04-30,4.68561067682856,0.708631069271323,15.123558446195
1970-05-31,4.63027914229138,0.725521376814833,15.6690634520966
1970-06-30,4.64860669640531,0.746645820464055,16.0617120188168
1970-07-31,4.5635763826699,0.747322715618961,16.3758125854298
1970-08-31,4.62651596569792,0.72913425111949,15.7598991665751
1970-09-30,4.6406411185438,0.709349761110737,15.2855983255461
1970-10-31,4.71078486496404,0.692645174817971,14.703392209002
1970-11-30,4.86845470234844,0.686400025759498,14.0989301066803
1970-12-31,4.98412770550086,0.700114832573756,14.0468879198472
1971-01-31,5.02400990328616,0.613211323610265,12.2056153434166
1971-02-28,5.0242955267683,0.594417962862348,11.8308718047222
1971-03-31,4.97155909209842,0.549262157878609,11.0480866807272
1971-04-30,4.9499588799693,0.536581742046687,10.8401252426164
1971-05-31,5.03492963275948,0.511930588421718,10.1675817888471
1971-06-30,5.06317105071785,0.483659933200839,9.55251024221801
1971-07-31,5.07244960983974,0.482998019870385,9.52198754095942
1971-08-31,4.86805077161163,0.489313005236407,10.051518116653
1971-09-30,4.58982815160046,0.461084436110266,10.0457886631221
1971-10-31,4.24967872826391,0.448770449261994,10.5601029620733
1971-11-30,3.9485454872875,0.454799322738381,11.5181482447809
1971-12-31,3.76425678608995,0.435750991545877,11.5760166297928
1972-01-31,3.797895628343,0.448357726615279,11.8054251746485
1972-02-29,3.68458598609836,0.464701429010542,12.612039202337
1972-03-31,3.55182402740636,0.459060138318574,12.924630690496
1972-04-30,3.403867841671,0.429215677276421,12.609645768906
1972-05-31,3.18931606598122,0.398322223681128,12.4892677753022
1972-06-30,2.99285021902963,0.389827719405535,13.0252999941951
1972-07-31,2.89211481543412,0.423107037423313,14.6296763588137
1972-08-31,2.96299672476581,0.419914392462537,14.1719492617976
1972-09-30,3.13546673494113,0.417946331259104,13.3296369118377
1972-10-31,3.0243629653321,0.411717750370595,13.6133709839085
1972-11-30,3.06766290685329,0.401596971377671,13.0913005624082
1972-12-31,3.05784915594234,0.374697035514975,12.2536141060727
1973-01-31,2.67445934967969,0.371244063186388,13.8810882741908
1973-02-28,2.71534131626508,0.388415618659969,14.3044860081984
1973-03-31,2.92630861386938,0.411542432913342,14.0635348904356
1973-04-30,3.29111823772001,0.439560129898257,13.3559507179168
1973-05-31,3.45233400895843,0.461735835034676,13.3745991505029
1973-06-30,3.70125801110184,0.472592074083911,12.768417458777
1973-07-31,3.84654373971292,0.426508305225077,11.0880919101913
1973-08-31,4.12020118553769,0.488605071346925,11.8587673112171
1973-09-30,4.28998769687713,0.503625967377931,11.7395667065559
1973-10-31,4.64864641493301,0.557518505932839,11.993136413686
1973-11-30,4.87006913034815,0.569293829467031,11.6896457571709
1973-12-31,5.14487594603342,0.601977679204224,11.7005285553743
1974-01-31,5.58565226630764,0.660488341171272,11.8247307508794
1974-02-28,5.93609957653453,0.697087692531068,11.743194054336
1974-03-31,6.31719010106621,0.766711875964785,12.1369131480685
1974-04-30,6.49339526074491,0.777714534741318,11.9770089993274
1974-05-31,7.09036094477015,0.886315200749861,12.5002832388048
1974-06-30,7.72859751375369,0.979328942223024,12.6714962252883
1974-07-31,8.21268309216137,1.05729980182688,12.8739875867854
1974-08-31,8.74512538847544,1.09654405969414,12.5389175224314
1974-09-30,9.16500660800725,1.19395529125889,13.0273260274113
1974-10-31,9.59166401704695,1.23902109418095,12.9176865659481
1974-11-30,9.84598155066702,1.30238326450536,13.2275614960616
1974-12-31,10.0012711066812,1.39334373115575,13.9316664481272
1975-01-31,10.1174647089294,1.3885212839906,13.7240042237571
1975-02-28,10.2128374174964,1.39399298286041,13.6494191170835
1975-03-31,9.92902210274427,1.33756249051673,13.471240940707
1975-04-30,9.6448645187217,1.38167780380647,14.3255283796313
1975-05-31,9.08458310590957,1.27186797157945,14.0002899060068
1975-06-30,8.50117535300358,1.26348285154173,14.8624490035407
1975-07-31,8.21934563243094,1.23806458839982,15.0628120992358
1975-08-31,7.55991685553199,1.15254852291869,15.2455185016395
1975-09-30,7.18307472202157,1.16122294521275,16.166098643701
1975-10-31,6.89171306314611,1.16189619561103,16.8593234362055
1975-11-30,6.80916708253822,1.18026744048707,17.3335068177988
1975-12-31,6.69725124661091,1.17216020709705,17.5021089090873
1976-01-31,6.62070137305371,1.15308654566475,17.4163805417628
1976-02-29,6.28850822801698,1.13133680220386,17.9905434036558
1976-03-31,6.09123086948083,1.16954604860089,19.2004879417839
1976-04-30,5.9801429447699,1.14661706186342,19.1737400335258
1976-05-31,6.04544029045227,1.17430799063463,19.424689256947
1976-06-30,5.94635292284025,1.13351002287581,19.0622729189507
1976-07-31,5.87523098165961,1.10339649792254,18.7804786121082
1976-08-31,6.12271827105838,1.122527380714,18.3338074858041
1976-09-30,6.16567425011263,1.06827572254576,17.3261784390612
1976-10-31,6.15309969589903,1.02645339483442,16.6818911697228
1976-11-30,5.93618346011426,1.02110612742502,17.2013909995526
1976-12-31,5.85847423052462,0.930226082921982,15.8782994738663
1977-01-31,5.97087627851725,0.956965292834769,16.0272169141715
1977-02-28,6.18995894888007,0.948997259416693,15.3312367215035
1977-03-31,6.28896150745178,0.977045817219241,15.5358848366545
1977-04-30,6.4064673681935,1.01210660562418,15.7982012153692
1977-05-31,6.45958387085404,1.02741186196203,15.9052329453878
1977-06-30,6.66288279234243,1.00212626531859,15.0404306446801
1977-07-31,6.7308401591326,0.998974003844403,14.8417430844642
1977-08-31,6.63745871840334,0.961056189413808,14.479279347518
1977-09-30,6.4655587166816,0.954321360460384,14.760075691497
1977-10-31,6.45799537882369,0.939933778652361,14.554574965081
1977-11-30,6.51823837476283,0.892421870557659,13.6911511860769
1977-12-31,6.489836917317,0.925558496671639,14.2616603231115
1978-01-31,6.51963881756181,0.970056904662184,14.8789976225242
1978-02-28,6.26603363561457,0.991622426133517,15.8253607273568
1978-03-31,6.37265762469646,0.941950115317529,14.7811191310061
1978-04-30,6.52041166722717,0.908950263310835,13.9400747943476
1978-05-31,6.59602774717194,0.901081394739309,13.6609703487929
1978-06-30,6.55529697741733,0.864148854515377,13.1824516492895
1978-07-31,6.53745308457007,0.929011326781965,14.2106002867485
1978-08-31,6.5799531745292,0.994421087541256,15.1128900337867
1978-09-30,6.75024535100737,0.985858865077557,14.604785660575
1978-10-31,7.0145170303735,1.0735463159642,15.3046362467386
1978-11-30,7.0340942644808,1.14869054138702,16.3303262395475
1978-12-31,6.89315209530024,1.11626380123626,16.1938077936411
1979-01-31,6.81686355704138,1.19157427976537,17.4798024017152
1979-02-28,6.74739666377776,1.16409758045875,17.2525440323972
1979-03-31,6.78092006304843,1.15231557075226,16.9934988178318
1979-04-30,7.0808505101034,1.14734099320615,16.2034347649206
1979-05-31,7.38361213301001,1.14597625960324,15.5205370888851
1979-06-30,7.39802819436502,1.1840878498093,16.0054519758549
1979-07-31,7.29295660832623,1.17455144378239,16.1052849600315
1979-08-31,7.4198439468704,1.14444813394894,15.4241536903435
1979-09-30,7.52837811193751,1.16709997750544,15.5026748145767
1979-10-31,7.54180682564626,1.17962355137809,15.6411265715097
1979-11-30,7.64703986999292,1.14247007316022,14.9400302938564
1979-12-31,8.00403151336822,1.24798907984622,15.5920060754615
1980-01-31,8.25277340586242,1.22914662774338,14.8937401682476
1980-02-29,8.99387285073612,1.35421639524711,15.0570996246213
1980-03-31,9.39798510667461,1.41017762647149,15.0051059930916
1980-04-30,8.96049842102032,1.49220584129994,16.6531566793136
1980-05-31,8.88318335453087,1.50070615438807,16.893787896685
1980-06-30,8.98351955648507,1.54251832075163,17.1705344553751
1980-07-31,9.19211172417955,1.56435842771982,17.0184879672951
1980-08-31,9.25178421914366,1.60715081122577,17.3712526487624
1980-09-30,9.53815087427198,1.68348868929867,17.6500530500066
1980-10-31,9.62546157884439,1.68863524293508,17.5434209476925
1980-11-30,9.79188669299087,1.69684643068653,17.3291060639126
1980-12-31,9.67066203016418,1.64399467116104,16.9998151732858
1981-01-31,9.7879294755964,1.68774959402695,17.2431728102956
1981-02-28,9.48571411345223,1.59146990557337,16.7775444899442
1981-03-31,9.0851328355154,1.60485529660336,17.6646321595838
1981-04-30,9.23821278230963,1.57499451762721,17.0486928017417
1981-05-31,9.11980070290438,1.57802854445911,17.3033226916522
