date,P_t,pi_t
2000-01-01,117.345054151625,
2000-02-01,117.449675090253,
2000-03-01,117.609530685921,
2000-04-01,117.822671480144,
2000-05-01,117.874007220217,
2000-06-01,117.756173285199,
2000-07-01,119.11083032491,
2000-08-01,119.164115523466,
2000-09-01,119.234512635379,
2000-10-01,120.193718411552,
2000-11-01,120.387797833935,
2000-12-01,120.654223826715,
2001-01-01,120.932628533274,3.0572863999993
2001-02-01,121.350879145337,3.32159629397583
2001-03-01,121.402693078122,3.22521684261346
2001-04-01,121.746316492321,3.33012735400266
2001-05-01,121.746316492321,3.28512567225307
2001-06-01,121.868105942577,3.49190411225399
2001-07-01,122.021789450256,2.44390801189588
2001-08-01,122.377698642333,2.69677083973656
2001-09-01,122.856843979524,3.03798897155036
2001-10-01,123.539572668596,2.78371806884849
2001-11-01,123.535521922991,2.61465376532456
2001-12-01,123.870999332295,2.6661109769351
2002-01-01,124.903309352518,3.28338254729285
2002-02-01,125.187153134635,3.16130712551608
2002-03-01,125.589516957862,3.44870758101435
2002-04-01,125.751223021583,3.289550472366
2002-05-01,126.083124357657,3.56216762057758
2002-06-01,126.043987667009,3.42655832068116
2002-07-01,127.446351490236,4.44556834022817
2002-08-01,128.07977389517,4.65940716004331
2002-09-01,128.549270298047,4.63338153100559
2002-10-01,130.104275436793,5.31384610323056
2002-11-01,130.727810894142,5.82204119041485
2002-12-01,131.714717368962,6.33216659181527
2003-01-01,133.144780376497,6.59828075549169
2003-02-01,133.581289218483,6.70526956933016
2003-03-01,133.617893135577,6.3925527959539
2003-04-01,134.275337516638,6.77855394980325
2003-05-01,135.660848069975,7.59635657913239
2003-06-01,135.660848069975,7.62976527557382
2003-07-01,136.468073778285,7.07883919983352
2003-08-01,136.68339988591,6.7173962984836
2003-09-01,136.625518159346,6.28260887251511
2003-10-01,139.145579007416,6.94927475693512
2003-11-01,139.25875641757,6.5257311853375
2003-12-01,139.2470431641,5.71866678652011
2004-01-01,141.318128758401,6.13869230081092
2004-02-01,141.877414220021,6.21054419378274
2004-03-01,142.220675627874,6.43834616039636
2004-04-01,142.65725150336,6.24233321006078
2004-05-01,142.814379200566,5.2730992267576
2004-06-01,142.90258224266,5.33811654262209
2004-07-01,143.688892819243,5.29121489080996
2004-08-01,143.58555005306,5.04973550036884
2004-09-01,143.668340997524,5.15483705610834
2004-10-01,145.289352670676,4.4153567127938
2004-11-01,145.581871241599,4.54055097624811
2004-12-01,145.701238061549,4.63506782678576
2005-01-01,146.769224449556,3.8573222976045
2005-02-01,147.588563917187,4.02541146422997
2005-03-01,147.625073940191,3.80000888651195
2005-04-01,147.588563917187,3.45675551846053
2005-05-01,147.712997042392,3.43005926241285
2005-06-01,147.81805783766,3.4397388191721
2005-07-01,148.143049622083,3.0998615936471
2005-08-01,148.38521196188,3.34271931057569
2005-09-01,148.765527440026,3.54788425001045
2005-10-01,151.128705225107,4.01911939663405
2005-11-01,151.521376930661,4.07983881399961
2005-12-01,151.550591521525,4.01462165853697
2006-01-01,153.076074938575,4.29712053918105
2006-02-01,153.298894348894,3.86908733315644
2006-03-01,153.406726044226,3.91644315543433
2006-04-01,153.823740786241,4.22470190342959
2006-05-01,153.989127764128,4.24886831044001
2006-06-01,154.145546683047,4.28059260008383
2006-07-01,155.041584766585,4.65667148212463
2006-08-01,155.242598280098,4.62134078426913
2006-09-01,155.398218673219,4.45848668527479
2006-10-01,157.422604422604,4.16459546061938
2006-11-01,157.480036855037,3.93255397032402
2006-12-01,157.700921375921,4.05826845850553
2007-01-01,159.01044948692,3.8767485714057
2007-02-01,159.392672351496,3.97509585994314
2007-03-01,159.328862552392,3.86041515967076
2007-04-01,159.374259286024,3.60836270878136
2007-05-01,159.372178060413,3.49573400047505
2007-06-01,159.621014597485,3.55214148722514
2007-07-01,160.150961121549,3.29548769941739
2007-08-01,160.173059690707,3.17597197240453
2007-09-01,160.3956352074,3.21587761870688
2007-10-01,163.698569157393,3.98669857979245
2007-11-01,164.304567133979,4.33358438011044
2007-12-01,164.236594883654,4.14434706576814
2008-01-01,164.395843148123,3.38681745670145
2008-02-01,164.689095191908,3.32287724540584
2008-03-01,165.065525841763,3.60051731837613
2008-04-01,164.994180407371,3.52624140593594
2008-05-01,164.936012193432,3.49109499583405
2008-06-01,164.794984065401,3.24140870859837
2008-07-01,165.460440626299,3.31529668480725
2008-08-01,165.470029097963,3.30702892077158
2008-09-01,165.537674934183,3.20584766545197
2008-10-01,166.953581820701,1.98841851829434
2008-11-01,166.953581820701,1.61225870523866
2008-12-01,167.222890397672,1.81828874139406
2009-01-01,168.95486381323,2.77319704549908
2009-02-01,169.25915693904,2.77496317640632
2009-03-01,169.392866407263,2.62158954356654
2009-04-01,169.34691309987,2.63811286055781
2009-05-01,169.815810635538,2.95860096119166
2009-06-01,169.977950713359,3.14509975977254
2009-07-01,170.210181582361,2.87062027520468
2009-08-01,171.5517769131,3.67543769000981
2009-09-01,171.512438391699,3.60930734341378
2009-10-01,174.361984435798,4.43740262071929
2009-11-01,174.49850843061,4.51917624505431
2009-12-01,174.660648508431,4.44781099828542
2010-01-01,176.147143916914,4.25692397446167
2010-02-01,176.439564787339,4.24225665432398
2010-03-01,176.712982195846,4.32138374173504
2010-04-01,176.820548961424,4.41321056566681
2010-05-01,176.721822453017,4.06676609888841
2010-06-01,176.929389218595,4.08961190322779
2010-07-01,176.983815529179,3.97957036638311
2010-08-01,177.212932739862,3.29996921549192
2010-09-01,177.466073194857,3.4712554138847
2010-10-01,178.591456478734,2.42568473662538
2010-11-01,178.567433234421,2.33178199653773
2010-12-01,178.585150840752,2.24692989854078
2011-01-01,179.599075741208,1.95968651408948
2011-02-01,180.275621173929,2.17414749986091
2011-03-01,180.736166126515,2.27667706168353
2011-04-01,181.026695474733,2.37876566836482
2011-05-01,181.072080182451,2.46164150473878
2011-06-01,181.382319049334,2.51678358830299
2011-07-01,181.919037330453,2.78851588012001
2011-08-01,182.336250150042,2.8910516467222
2011-09-01,182.795138638819,3.00286434923873
2011-10-01,184.033585403913,3.04725042982512
2011-11-01,184.161517224823,3.13275712657957
2011-12-01,184.756967951026,3.45595201012993
2012-01-01,185.97801571933,3.55176659556669
2012-02-01,185.978562478642,3.16345674893633
2012-03-01,186.116550860007,2.97692755622864
2012-04-01,186.48086342408,3.01290808797234
2012-05-01,186.756840186809,3.13950113050575
2012-06-01,187.049367809546,3.12436669125966
2012-07-01,188.388529445267,3.55624799347575
2012-08-01,188.592322587994,3.43106345161974
2012-09-01,188.579018111402,3.16413199806785
2012-10-01,189.742897824354,3.10232092034169
2012-11-01,189.775999544367,3.04867292806356
2012-12-01,190.95318373391,3.35371155502326
2013-01-01,192.885355094839,3.71406230397306
2013-02-01,193.308414203794,3.9412347463397
2013-03-01,193.418228936921,3.92317504444103
2013-04-01,192.472882664314,3.2132086532693
2013-05-01,192.582697397442,3.11948799562287
2013-06-01,192.843504631672,3.09765111209887
2013-07-01,193.643096603441,2.78921820433879
2013-08-01,193.862726069696,2.79460129096319
2013-09-01,194.293129686811,3.03008873024938
2013-10-01,196.066067490075,3.3324934625879
2013-11-01,196.175882223202,3.37233511835041
2013-12-01,196.038134097927,2.66293039193424
2014-01-01,196.196959387625,1.71687699730116
2014-02-01,196.278970869658,1.5366928946675
2014-03-01,196.351201360834,1.51638883265187
2014-04-01,196.079991494791,1.87408677032576
2014-05-01,196.106463959175,1.82974203256761
2014-06-01,196.184584307889,1.73253420310848
2014-07-01,196.22166702105,1.33160978255289
2014-08-01,196.907994896874,1.57083772054456
2014-09-01,197.15991920051,1.47549711012463
2014-10-01,196.666383159685,0.306180297945086
2014-11-01,197.109547097597,0.475932547780036
2014-12-01,197.09976610674,0.541543620428099
2015-01-01,197.818717767216,0.826597101531551
2015-02-01,197.836656891496,0.793608207204379
2015-03-01,197.881110324603,0.779169647634617
2015-04-01,198.264061077965,1.11386662480187
2015-05-01,198.371250884821,1.15487622382398
2015-06-01,198.317120032359,1.08700473688789
2015-07-01,198.567843057943,1.19567633509149
2015-08-01,199.272120537972,1.20062450604674
2015-09-01,199.071281221559,0.969447557495259
2015-10-01,199.832551319648,1.60991833433576
2015-11-01,200.03339063606,1.48335967563016
2015-12-01,200.069005966225,1.50646544038855
2016-01-01,201.104674973438,1.66109519023795
2016-02-01,201.286515985705,1.74379164529713
2016-03-01,201.341137834444,1.74853855639139
2016-04-01,201.432406065875,1.59804301933638
2016-05-01,201.650893460833,1.65328522221972
2016-06-01,202.060649087221,1.88764795205333
2016-07-01,202.727827682797,2.09499411424851
2016-08-01,203.510509031199,2.12693500816115
2016-09-01,203.574374577417,2.26205072284942
2016-10-01,204.986400077272,2.57908369962219
2016-11-01,205.041021926012,2.50339769476906
2016-12-01,204.994581280788,2.46193821515494
2017-01-01,206.059131403118,2.46362071410561
2017-02-01,205.815664439495,2.25010027701618
2017-03-01,205.888028953229,2.25830208753664
2017-04-01,206.437769116555,2.48488470571302
2017-05-01,206.437769116555,2.37384301828173
2017-06-01,206.984706755754,2.43692064277538
