date,P_t,pi_t
2014-06-01,100,
2014-07-01,99.6589848296139,
2014-08-01,100.286714171958,
2014-09-01,100.291267329563,
2014-10-01,100.496453437328,
2014-11-01,100.748192008494,
2014-12-01,100.691146864855,
2015-01-01,100.87840971726,
2015-02-01,100.894759620292,
2015-03-01,100.875592528325,
2015-04-01,100.884862713075,
2015-05-01,100.926881698479,
2015-06-01,100.926881698479,0.926881698479136
2015-07-01,100.80654281923,1.15148472722098
2015-08-01,101.04407471675,0.755195292861171
2015-09-01,101.063241808717,0.769732499857
2015-10-01,101.552601816883,1.05093099649894
2015-11-01,101.615674185975,0.861039945419949
2015-12-01,101.623803205063,0.926254560849952
2016-01-01,101.80708371478,0.920587467746813
2016-02-01,101.889012308005,0.985435409584337
2016-03-01,101.93637880175,1.05157872864708
2016-04-01,101.956435764419,1.06217426730398
2016-05-01,102.118592208321,1.18076620399483
2016-06-01,102.240634726884,1.30168792129144
2016-07-01,102.676610721188,1.85510568030407
2016-08-01,103.062795239548,1.99786135748907
2016-09-01,103.118278913641,2.03341696559976
2016-10-01,103.648456921982,2.06381231755929
2016-11-01,103.723132946801,2.07395047831753
2016-12-01,103.688684772658,2.03188770983949
2017-01-01,105.273496068021,3.40488326230115
2017-02-01,105.170601971977,3.22074931303858
2017-03-01,105.211322901281,3.21273341080819
2017-04-01,105.184769071095,3.16638501774984
2017-05-01,105.213159155323,3.03036585217474
2017-06-01,105.439333759131,3.12859856630559
2017-07-01,105.665953454952,2.91141547502109
2017-08-01,106.403884076484,3.24179916639165
2017-09-01,106.403884076484,3.18624903116845
2017-10-01,107.32957766157,3.55154418011237
2017-11-01,107.32957766157,3.47699169154406
2017-12-01,107.32957766157,3.51136953554315
2018-01-01,108.071826816086,2.65815314640746
2018-02-01,108.143546336036,2.82678268291226
2018-03-01,108.359209585122,2.99196569060712
2018-04-01,108.700755046892,3.34267594714302
2018-05-01,108.700963678271,3.31498887681764
2018-06-01,108.743884120172,3.13407742938637
2018-07-01,109.196393657606,3.34113315331917
2018-08-01,109.302761882054,2.72440976260417
2018-09-01,109.394060960102,2.81021403454444
2018-10-01,110.226221983786,2.698831380246
2018-11-01,110.229800508663,2.70216552629853
2018-12-01,110.315089016055,2.78162964909648
2019-01-01,110.720707779249,2.45103746388044
2019-02-01,111.234015688909,2.8577473715079
2019-03-01,111.226301645952,2.64591452060976
2019-04-01,111.508528127408,2.58302997003521
2019-05-01,112.041085577664,3.07276199434578
2019-06-01,112.126528878263,3.11065287529455
2019-07-01,112.449520836215,2.97915257971725
2019-08-01,112.658007469027,3.06968051785744
2019-09-01,112.65059574384,2.97688444432647
2019-10-01,113.820306664822,3.26064398865523
2019-11-01,113.812782311447,3.25046565107574
2019-12-01,113.375405560276,2.77415952025909
2020-01-01,114.516028079533,3.42783240498315
2020-02-01,114.211553394251,2.676822990612
2020-03-01,114.247519510569,2.71628007036833
2020-04-01,114.682050276481,2.84599052858741
2020-05-01,115.299290168242,2.90804446759786
2020-06-01,115.557519902741,3.05992797494301
2020-07-01,116.186226910859,3.32300755650791
2020-08-01,116.900780422762,3.76606425859334
2020-09-01,116.989023098945,3.8512245110273
2020-10-01,117.411871053767,3.15546890900653
2020-11-01,117.479959998431,3.22211408288884
2020-12-01,117.51592611475,3.65204475698432
2021-01-01,118.596344545223,3.56309639280947
2021-02-01,118.675026935961,3.90807532956199
2021-03-01,118.807796736341,3.99157657453569
2021-04-01,118.825206182538,3.61273267792798
2021-05-01,119.100356534174,3.29669537460818
2021-06-01,119.115714929379,3.07915489154863
2021-07-01,119.789205692793,3.10103777162672
2021-08-01,120.272821439066,2.88453251048417
2021-09-01,120.729925029874,3.19765208037122
2021-10-01,121.191645973319,3.21924426008083
2021-11-01,121.196197367132,3.16329471745698
2021-12-01,121.280281191843,3.20327227257476
2022-01-01,121.712915985477,2.62788153564508
2022-02-01,121.671410782743,2.52486468648425
2022-03-01,121.729796860104,2.45943465330626
2022-04-01,121.454799517251,2.21299286506094
2022-05-01,121.680174763189,2.16608774657592
2022-06-01,122.239398632888,2.62239428723652
2022-07-01,123.0121258798,2.6904929942286
2022-08-01,122.95943956512,2.23376993564215
2022-09-01,122.883421533032,1.78373050643779
2022-10-01,123.16302486765,1.62666236480115
2022-11-01,123.50682545993,1.90651863919304
2022-12-01,123.682303584106,1.98055476839094
2023-01-01,124.587841781412,2.36205481781269
2023-02-01,125.179665464093,2.88338456732024
2023-03-01,125.695632714008,3.2579006588349
2023-04-01,126.299880644579,3.9892051582861
2023-05-01,126.518551720682,3.97630671299511
2023-06-01,126.508110255948,3.49209147852554
2023-07-01,127.511139278055,3.65737391015551
2023-08-01,127.447829815806,3.65030148686417
2023-09-01,128.437777103,4.52002027667793
2023-10-01,129.866955564909,5.44313579864018
2023-11-01,129.974754875433,5.23690038296876
2023-12-01,130.097357364761,5.18671919487049
2024-01-01,131.597013445277,5.62588737684564
2024-02-01,132.005211136937,5.45259938787913
2024-03-01,131.951030256883,4.97662282118242
2024-04-01,131.807187732938,4.36050062775328
2024-05-01,132.380877349417,4.63356997768757
2024-06-01,132.617954334148,4.82960662825428
2024-07-01,133.024271871118,4.32364781953719
2024-08-01,133.816603254118,4.99716115018702
2024-09-01,133.940589007334,4.28441851646217
2024-10-01,134.651227668016,3.68397956377422
2024-11-01,134.667035426602,3.61014764418338
2024-12-01,134.673314932072,3.51733321875389
